"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Burundi,2022,12715.87,12889.576,6400.926,6488.65,496.708,98.648,15.766,345.407,26.798,347.413,2.695,25.72,439.648,36.863,34.109,4.98,2.173,30.652,102.5,94.241,49.766,44.475,7.311,61.977,60.077,63.868,51.826,50.124,53.49,12.485,11.735,13.102,5.34,4.916,5.623,15.97,36.349,426.016,22.214,50.91,166.399,182.37,150.184,331.866,366.298,297.211,163.181,182.724,143.684,276.224,309.539,243.136,2,0.155
Comoros,2022,829.245,836.774,420.357,416.416,449.636,100.946,20.261,17.056,20.359,15.057,1.799,38.53,24.201,2.278,28.887,3.912,1.752,30.571,103.2,7.145,3.951,3.194,8.528,63.68,61.522,66.061,53.218,51.254,55.392,11.892,10.881,12.902,5.043,4.621,5.404,1.102,45.518,23.3,1.414,58.495,125.469,139.304,111.407,290.539,328.808,248.587,119.095,136.8,100.769,238.316,275.396,197.783,-2,-2.387
Djibouti,2022,1113.147,1120.849,556.264,564.584,48.354,98.526,23.98,14.508,12.949,15.403,1.374,50.447,24.549,1.282,21.911,2.757,1.213,31.267,103.7,10.041,5.502,4.539,8.962,62.859,60.336,65.503,52.556,50.369,54.814,12.582,11.693,13.402,5.332,4.867,5.699,0.896,36.506,23.785,1.259,51.42,154.618,177.798,130.599,314.525,360.036,267.514,151.01,177.793,123.833,260.358,303.327,216.771,0.9,0.803
Eritrea,2022,3652.541,3684.032,1817.878,1866.154,30.41,97.413,18.413,80.139,21.699,62.981,1.71,40.535,104.981,14.125,28.426,3.786,1.726,29.434,103.2,24.842,13.039,11.803,6.727,66.604,64.457,68.678,55.098,53.246,56.839,13.531,12.696,14.221,5.819,5.39,6.13,2.995,28.578,102.355,3.902,37.586,116.183,133.152,98.759,252.652,288.303,218.526,116.961,135.452,98.922,211.465,244.289,180.807,-17.152,-4.644
Ethiopia,2022,121822.59,123379.924,61980.175,61399.749,123.38,100.945,18.647,3126.668,25.338,3114.669,2.525,27.451,3928.445,449.97,31.835,4.063,1.832,29.537,105.5,801.777,464.262,337.516,6.497,65.645,62.613,68.903,54.556,51.974,57.287,13.23,12.208,14.205,5.6,5.083,6.03,125.119,31.889,3819.98,169.472,43.724,125.427,153.693,95.49,265.953,318.315,210.908,123.195,154.357,90.956,220.092,268.213,170.578,-11.999,-0.097
Kenya,2022,53499.879,54027.487,26777.549,27249.938,93.034,98.266,19.382,1065.212,19.71,1055.216,1.953,35.491,1488.394,193.338,27.54,3.296,1.501,28.454,102.2,423.182,229.463,193.719,7.83,62.055,59.579,64.686,49.971,47.513,52.578,13.247,11.964,14.358,6.776,5.912,7.308,41.515,27.971,1451.833,56.764,38.593,145.86,160.757,130.809,386.174,436.775,332.531,206.505,236.993,174.715,356.201,407.928,301.538,-10,-0.185
Madagascar,2022,29260.083,29611.714,14836.218,14775.496,50.897,100.411,19.125,704.757,23.796,703.262,2.375,29.185,906.13,185.478,30.595,3.791,1.714,27.945,103.9,201.373,111.923,89.451,6.799,65.23,62.97,67.617,54.27,52.344,56.284,13.107,12.288,13.887,5.577,5.14,5.945,29.471,32.585,880.625,40.137,44.852,127.973,147.786,107.427,273.228,311.952,232.73,125.218,146.971,102.933,225.952,261.605,189.181,-1.5,-0.051
Malawi,2022,20146.243,20405.317,9924.861,10480.456,215.811,94.699,16.983,524.146,25.677,518.147,2.539,27.3,665.678,144.336,32.611,3.849,1.777,27.917,101.4,141.532,76.592,64.941,6.934,62.898,59.58,66.326,50.814,47.51,54.213,12.646,10.869,14.221,6.234,4.982,7.017,18.275,27.51,649.567,25.062,38.158,130.19,152.081,110.198,355.492,423.184,289.046,180.872,222.274,139.884,324.476,393.686,256.969,-6,-0.294
Mauritius,2022,1299.134,1299.469,640.751,658.717,640.133,97.273,37.142,0.675,0.52,0.67,0.052,...,13.266,1.104,10.21,1.393,0.669,28.887,103.5,12.591,6.874,5.717,9.69,73.975,70.963,77.128,60.261,57.315,63.336,16.3,14.784,17.638,7.626,6.956,8.068,0.178,13.391,13.11,0.211,15.828,45.564,57.555,33.133,160.314,205.926,112.175,67.532,90.137,43.899,145.437,190.48,98.032,0,0
Mayotte,2022,321.205,326.101,154.456,171.644,869.601,89.986,16.607,9.787,30.006,9.791,3.003,23.082,10.754,0.905,32.972,4.367,2.126,29.941,102.6,0.967,0.585,0.382,2.966,75.049,71.861,78.522,60.489,57.314,63.948,16.043,14.247,18.025,7.165,6.273,7.965,0.04,3.739,10.719,0.049,4.555,30.884,43.172,21.327,138.867,183.496,96.076,57.879,81.381,38.3,133.604,178.124,90.978,0,0
