"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HOSPITALBED","TOT","1000HAB","A","1960",9.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1961",9.48,
"AUS","HOSPITALBED","TOT","1000HAB","A","1962",9.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1963",9.36,
"AUS","HOSPITALBED","TOT","1000HAB","A","1964",9.23,
"AUS","HOSPITALBED","TOT","1000HAB","A","1965",9.13,
"AUS","HOSPITALBED","TOT","1000HAB","A","1966",8.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","1967",8.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1968",8.61,
"AUS","HOSPITALBED","TOT","1000HAB","A","1969",8.4,
"AUS","HOSPITALBED","TOT","1000HAB","A","1970",8.25,
"AUS","HOSPITALBED","TOT","1000HAB","A","1971",7.98,
"AUS","HOSPITALBED","TOT","1000HAB","A","1972",7.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","1973",7.88,
"AUS","HOSPITALBED","TOT","1000HAB","A","1974",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1975",7.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1976",7.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","1977",8.1,
"AUS","HOSPITALBED","TOT","1000HAB","A","1978",8.05,
"AUS","HOSPITALBED","TOT","1000HAB","A","1979",8,
"AUS","HOSPITALBED","TOT","1000HAB","A","1980",7.84,
"AUS","HOSPITALBED","TOT","1000HAB","A","1981",7.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1982",7.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1983",7.2,
"AUS","HOSPITALBED","TOT","1000HAB","A","1984",6.94,
"AUS","HOSPITALBED","TOT","1000HAB","A","1985",6.24,"B"
"AUS","HOSPITALBED","TOT","1000HAB","A","1987",5.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","1989",5.43,
"AUS","HOSPITALBED","TOT","1000HAB","A","1991",4.92,
"AUS","HOSPITALBED","TOT","1000HAB","A","1992",4.65,
"AUS","HOSPITALBED","TOT","1000HAB","A","1993",4.68,
"AUS","HOSPITALBED","TOT","1000HAB","A","1994",4.59,
"AUS","HOSPITALBED","TOT","1000HAB","A","1995",4.58,
"AUS","HOSPITALBED","TOT","1000HAB","A","1996",4.38,
"AUS","HOSPITALBED","TOT","1000HAB","A","1997",4.28,
"AUS","HOSPITALBED","TOT","1000HAB","A","1998",4.17,
"AUS","HOSPITALBED","TOT","1000HAB","A","1999",4.07,
"AUS","HOSPITALBED","TOT","1000HAB","A","2000",4.04,
"AUS","HOSPITALBED","TOT","1000HAB","A","2001",3.95,
"AUS","HOSPITALBED","TOT","1000HAB","A","2002",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2003",3.97,
"AUS","HOSPITALBED","TOT","1000HAB","A","2004",4,
"AUS","HOSPITALBED","TOT","1000HAB","A","2005",3.9,
"AUS","HOSPITALBED","TOT","1000HAB","A","2006",3.93,
"AUS","HOSPITALBED","TOT","1000HAB","A","2008",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2009",3.77,
"AUS","HOSPITALBED","TOT","1000HAB","A","2010",3.78,
"AUS","HOSPITALBED","TOT","1000HAB","A","2011",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2012",3.75,"E"
"AUS","HOSPITALBED","TOT","1000HAB","A","2013",3.74,
"AUS","HOSPITALBED","TOT","1000HAB","A","2014",3.79,
"AUS","HOSPITALBED","TOT","1000HAB","A","2015",3.82,
"AUS","HOSPITALBED","TOT","1000HAB","A","2016",3.84,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1960",3.13,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1961",3.06,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1962",3,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1963",2.98,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1964",2.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1965",2.85,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1966",2.7,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1967",2.59,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1968",2.44,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1969",2.31,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1970",2.22,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1971",2.07,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1972",1.99,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1973",1.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1974",1.88,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1975",1.81,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1976",1.77,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1977",1.64,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1978",1.58,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1979",1.49,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1980",1.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1981",1.29,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1982",1.22,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1983",1.16,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1984",1.07,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1985",0.91,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1987",0.62,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1989",0.58,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1991",0.5,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1992",0.43,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1993",0.51,"B"
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1994",0.48,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1995",0.44,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1996",0.42,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1997",0.42,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1998",0.41,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1999",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2000",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2001",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2002",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2003",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2004",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2005",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2006",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2008",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2009",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2010",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2011",0.39,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2012",0.4,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2013",0.41,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2014",0.41,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2015",0.41,
"AUS","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2016",0.42,
"AUT","HOSPITALBED","TOT","1000HAB","A","1985",9.94,
"AUT","HOSPITALBED","TOT","1000HAB","A","1986",9.91,
"AUT","HOSPITALBED","TOT","1000HAB","A","1987",9.79,
"AUT","HOSPITALBED","TOT","1000HAB","A","1988",9.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","1989",9.51,
"AUT","HOSPITALBED","TOT","1000HAB","A","1990",9.29,
"AUT","HOSPITALBED","TOT","1000HAB","A","1991",9.05,
"AUT","HOSPITALBED","TOT","1000HAB","A","1992",8.83,
"AUT","HOSPITALBED","TOT","1000HAB","A","1993",8.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","1994",8.6,
"AUT","HOSPITALBED","TOT","1000HAB","A","1995",8.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","1996",8.44,
"AUT","HOSPITALBED","TOT","1000HAB","A","1997",8.34,
"AUT","HOSPITALBED","TOT","1000HAB","A","1998",8.2,
"AUT","HOSPITALBED","TOT","1000HAB","A","1999",8.09,
"AUT","HOSPITALBED","TOT","1000HAB","A","2000",7.95,
"AUT","HOSPITALBED","TOT","1000HAB","A","2001",7.85,
"AUT","HOSPITALBED","TOT","1000HAB","A","2002",7.81,
"AUT","HOSPITALBED","TOT","1000HAB","A","2003",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2004",7.73,
"AUT","HOSPITALBED","TOT","1000HAB","A","2005",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2006",7.66,
"AUT","HOSPITALBED","TOT","1000HAB","A","2007",7.75,
"AUT","HOSPITALBED","TOT","1000HAB","A","2008",7.69,
"AUT","HOSPITALBED","TOT","1000HAB","A","2009",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2010",7.65,
"AUT","HOSPITALBED","TOT","1000HAB","A","2011",7.68,
"AUT","HOSPITALBED","TOT","1000HAB","A","2012",7.67,
"AUT","HOSPITALBED","TOT","1000HAB","A","2013",7.64,
"AUT","HOSPITALBED","TOT","1000HAB","A","2014",7.58,
"AUT","HOSPITALBED","TOT","1000HAB","A","2015",7.54,
"AUT","HOSPITALBED","TOT","1000HAB","A","2016",7.42,
"AUT","HOSPITALBED","TOT","1000HAB","A","2017",7.37,
"AUT","HOSPITALBED","TOT","1000HAB","A","2018",7.27,
"AUT","HOSPITALBED","TOT","1000HAB","A","2019",7.19,
"AUT","HOSPITALBED","TOT","1000HAB","A","2020",7.05,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1988",8.44,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1989",8.28,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1990",8.1,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1991",7.87,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1992",7.66,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1993",7.54,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1994",7.51,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1995",7.42,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1996",7.31,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1997",7.21,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1998",7.07,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","1999",6.95,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2000",6.85,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2001",6.75,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2002",6.68,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2003",6.57,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2004",6.51,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2005",6.45,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2006",6.4,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2007",6.4,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2008",6.32,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2009",6.26,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2010",6.19,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2011",6.13,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2012",6.03,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2013",5.91,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2014",5.82,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2015",5.69,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2016",5.59,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2017",5.49,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2018",5.39,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2019",5.31,
"AUT","HOSPITALBED","ACUTE","1000HAB","A","2020",5.13,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1988",0.92,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1989",0.89,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1990",0.87,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1991",0.85,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1992",0.8,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1993",0.77,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1994",0.74,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1995",0.69,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1996",0.63,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1997",0.6,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1998",0.57,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","1999",0.53,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2000",0.68,"B"
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2001",0.66,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2002",0.68,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2003",0.66,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2004",0.67,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2005",0.68,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2006",0.71,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2007",0.76,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2008",0.74,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2009",0.74,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2010",0.71,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2011",0.71,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2012",0.74,
"AUT","HOSPITALBED","PSYCHIATRIC","1000HAB","A","2013",0.75,
